$Combined Quinapoxet, Quabbin, Trout temp(Dan Crocker -> Quinapoxet_Quabbin_Trout), 
FROM: Trib WQ, R (DCR), ,
JDAY,TEMP (C),,
1,3.175389671,,
2,3.17608306,,
3,2.761762637,,
4,0.298545084,,
5,0.24878757,,
6,0.199030056,,
7,0.149272542,,
8,0.099515028,,
9,0.049757514,,
10,0,,
11,0.094229103,,
12,0.188458206,,
13,0.282687308,,
14,0.376916411,,
15,0.471145514,,
16,0.565374617,,
17,0.65960372,,
18,0.753832822,,
19,0.848061925,,
20,0.942291028,,
21,1.036520131,,
22,1.130749233,,
23,1.224978336,,
24,1.319207439,,
25,1.377838881,,
26,1.436470323,,
27,1.495101764,,
28,1.553733206,,
29,1.612364648,,
30,1.670996089,,
31,1.729627531,,
32,1.788258973,,
33,1.846890415,,
34,1.905521856,,
35,1.964153298,,
36,2.02278474,,
37,2.110172191,,
38,2.197559642,,
39,2.284947094,,
40,2.372334545,,
41,2.459721996,,
42,2.547109448,,
43,2.634496899,,
44,2.72188435,,
45,2.809271801,,
46,2.896659253,,
47,2.984046704,,
48,3.071434155,,
49,3.158821607,,
50,3.246209058,,
51,3.333596509,,
52,3.31711644,,
53,3.30063637,,
54,3.284156301,,
55,3.267676232,,
56,3.251196162,,
57,3.234716093,,
58,3.218236023,,
59,3.201755954,,
60,3.185275885,,
61,3.168795815,,
62,3.152315746,,
63,3.135835676,,
64,3.119355607,,
65,2.940518074,,
66,2.76168054,,
67,2.582843007,,
68,2.404005473,,
69,2.22516794,,
70,2.046330406,,
71,1.867492873,,
72,1.688655339,,
73,1.509817806,,
74,1.330980272,,
75,1.152142739,,
76,0.973305205,,
77,0.794467672,,
78,0.615630138,,
79,0.921646135,,
80,1.227662132,,
81,1.533678129,,
82,1.839694126,,
83,2.145710123,,
84,2.45172612,,
85,2.757742117,,
86,3.063758114,,
87,3.369774111,,
88,3.675790109,,
89,3.981806106,,
90,4.287822103,,
91,4.5938381,,
92,4.899854097,,
93,4.937829452,,
94,4.975804808,,
95,5.013780163,,
96,5.051755519,,
97,5.089730875,,
98,5.12770623,,
99,5.165681586,,
100,5.203656942,,
101,5.241632297,,
102,5.279607653,,
103,5.317583008,,
104,5.355558364,,
105,5.39353372,,
106,5.431509075,,
107,5.469484431,,
108,5.507459787,,
109,5.545435142,,
110,6.115437723,,
111,6.685440305,,
112,7.255442886,,
113,7.825445468,,
114,8.395448049,,
115,8.96545063,,
116,9.535453212,,
117,10.10545579,,
118,10.67545837,,
119,11.24546096,,
120,11.81546354,,
121,12.38546612,,
122,12.9554687,,
123,13.52547128,,
124,14.09547386,,
125,14.66547644,,
126,15.23547902,,
127,15.80548161,,
128,15.92588423,,
129,16.04628684,,
130,16.16668946,,
131,16.28709208,,
132,16.4074947,,
133,16.52789732,,
134,16.64829994,,
135,16.76870256,,
136,10.8058907,,
137,8.564075947,,
138,8.678769094,,
139,8.11618457,,
140,8.369300844,,
141,8.796515787,,
142,8.241597499,,
143,8.038349553,,
144,8.117379021,,
145,7.832975672,,
146,7.7039432,,
147,8.417646439,,
148,8.267246459,,
149,8.221046644,,
150,8.244082739,,
151,7.867011724,,
152,8.138004454,,
153,8.338842469,,
154,8.197717614,,
155,8.16387834,,
156,8.432630107,,
157,8.375757453,,
158,8.055824292,,
159,8.370825147,,
160,8.455889697,,
161,8.33034011,,
162,8.370211873,,
163,8.214496668,,
164,8.434710585,,
165,8.82339092,,
166,8.78161805,,
167,8.360626943,,
168,8.504137073,,
169,8.546511771,,
170,9.202883559,,
171,8.685523752,,
172,8.636870286,,
173,8.789835397,,
174,8.839917948,,
175,9.340823776,,
176,11.24054754,,
177,9.666598486,,
178,9.560289369,,
179,10.90459316,,
180,10.75462878,,
181,10.05198741,,
182,9.823435806,,
183,9.760421604,,
184,9.661105066,,
185,9.750602009,,
186,9.700193209,,
187,9.732732769,,
188,10.04151662,,
189,9.616380657,,
190,10.05224575,,
191,10.08522485,,
192,10.20074871,,
193,10.0358801,,
194,10.21340024,,
195,10.16173557,,
196,10.14202931,,
197,10.11631987,,
198,11.37238187,,
199,11.79167849,,
200,10.4455494,,
201,10.66629045,,
202,10.64484371,,
203,10.70857211,,
204,10.76405011,,
205,10.99959103,,
206,10.57847745,,
207,11.26042227,,
208,11.00603699,,
209,11.11471663,,
210,10.9662185,,
211,10.7104291,,
212,10.80954377,,
213,10.75231215,,
214,10.78178882,,
215,11.57202122,,
216,11.05301733,,
217,11.48263174,,
218,11.08225881,,
219,11.21738248,,
220,11.49930779,,
221,11.13732999,,
222,11.19916442,,
223,11.77856163,,
224,14.07741742,,
225,14.13551779,,
226,16.80211944,,
227,16.71351205,,
228,14.6990268,,
229,13.43446764,,
230,13.48216986,,
231,13.9933551,,
232,13.30339592,,
233,12.57817614,,
234,13.0659418,,
235,13.03562642,,
236,12.09786604,,
237,12.0239509,,
238,11.73507343,,
239,11.66641222,,
240,11.521584,,
241,11.51077811,,
242,11.92883598,,
243,11.6366905,,
244,11.74561949,,
245,11.36145279,,
246,11.74478791,,
247,11.96675841,,
248,11.8385921,,
249,12.24896266,,
250,12.14660769,,
251,12.6196519,,
252,12.39365197,,
253,12.42933175,,
254,12.5306347,,
255,12.3165431,,
256,12.20471637,,
257,12.01465456,,
258,12.04535689,,
259,11.99069437,,
260,11.81888185,,
261,13.64503068,,
262,14.14503857,,
263,13.3306581,,
264,12.73317154,,
265,13.25683267,,
266,12.56483218,,
267,13.26554515,,
268,12.88785187,,
269,13.4225179,,
270,14.58859466,,
271,14.93681137,,
272,16.30411811,,
273,16.48206302,,
274,16.66000792,,
275,16.83795282,,
276,14.86011541,,
277,13.54335543,,
278,15.15510614,,
279,13.42366244,,
280,13.32451561,,
281,13.78398529,,
282,12.74945214,,
283,13.25954918,,
284,13.61720518,,
285,16.18351138,,
286,13.73013646,,
287,13.11867784,,
288,12.96593189,,
289,13.18966134,,
290,12.44012379,,
291,14.28044191,,
292,12.17331532,,
293,11.62393663,,
294,13.75911386,,
295,13.0541957,,
296,11.73556872,,
297,12.91918128,,
298,13.01146952,,
299,12.7657051,,
300,11.58632806,,
301,9.073674117,,
302,9.087709602,,
303,9.101745086,,
304,9.115780571,,
305,9.129816055,,
306,9.14385154,,
307,9.157887024,,
308,9.171922509,,
309,9.185957993,,
310,9.199993478,,
311,9.214028962,,
312,8.76890434,,
313,8.323779717,,
314,7.878655095,,
315,7.433530473,,
316,6.98840585,,
317,6.543281228,,
318,6.098156605,,
319,5.653031983,,
320,5.207907361,,
321,4.762782738,,
322,4.317658116,,
323,3.872533493,,
324,3.878215743,,
325,3.883897992,,
326,3.889580242,,
327,3.895262491,,
328,3.900944741,,
329,3.90662699,,
330,3.91230924,,
331,3.917991489,,
332,3.923673739,,
333,3.929355988,,
334,3.935038238,,
335,3.940720487,,
336,3.946402737,,
337,3.952084986,,
338,3.884183026,,
339,3.816281065,,
340,3.748379104,,
341,3.680477144,,
342,3.612575183,,
343,3.544673222,,
344,3.476771262,,
345,3.408869301,,
346,3.34096734,,
347,3.27306538,,
348,3.205163419,,
349,3.137261458,,
350,3.069359498,,
351,3.001457537,,
352,1.866540093,,
353,1.895311235,,
354,1.924082377,,
355,1.952853519,,
356,1.981624661,,
357,2.010395803,,
358,2.039166945,,
359,2.067938087,,
360,2.096709228,,
361,2.12548037,,
362,2.154251512,,
363,2.183022654,,
364,2.211793796,,
365,2.240564938,,
