$Weekly Temperature Data for daily run off (Average of all tribs), 
FROM: DCR other spreadsheets (use TribsWQ 'averages' to check), 
JDAY,TEMP (C)
1,2.0915002593361
2,2.05942686721992
3,2.02735347510373
4,1.99528008298755
5,1.96320669087137
6,1.93113329875519
7,1.899059906639
8,1.86698651452282
9,1.83491312240664
10,1.80283973029046
11,1.77076633817427
12,1.73869294605809
13,1.70661955394191
14,1.67454616182573
15,1.64247276970954
16,1.61039937759336
17,1.57832598547718
18,1.546252593361
19,1.51417920124481
20,1.48210580912863
21,1.45003241701245
22,1.41795902489627
23,1.38588563278008
24,1.3538122406639
25,1.3898145746888
26,1.42581690871369
27,1.46181924273859
28,1.49782157676349
29,1.53382391078838
30,1.56982624481328
31,1.60582857883817
32,1.64183091286307
33,1.67783324688797
34,1.71383558091286
35,1.74983791493776
36,1.78584024896266
37,1.98968533886584
38,2.19353042876902
39,2.3973755186722
40,2.60122060857538
41,2.80506569847856
42,3.00891078838174
43,3.21275587828492
44,3.4166009681881
45,3.62044605809129
46,3.82429114799447
47,4.02813623789765
48,4.23198132780083
49,4.43582641770401
50,4.63967150760719
51,4.84351659751037
52,4.76532875837855
53,4.68714091924673
54,4.60895308011491
55,4.53076524098308
56,4.45257740185126
57,4.37438956271944
58,4.29620172358762
59,4.21801388445579
60,4.13982604532397
61,4.06163820619215
62,3.98345036706033
63,3.9052625279285
64,3.82707468879668
65,3.73251889448726
66,3.63796310017783
67,3.54340730586841
68,3.44885151155898
69,3.35429571724956
70,3.25973992294013
71,3.16518412863071
72,3.07062833432128
73,2.97607254001186
74,2.88151674570243
75,2.78696095139301
76,2.69240515708358
77,2.59784936277416
78,2.50329356846473
79,2.69040456431535
80,2.87751556016597
81,3.0646265560166
82,3.25173755186722
83,3.43884854771784
84,3.62595954356846
85,3.81307053941909
86,4.00018153526971
87,4.18729253112033
88,4.37440352697095
89,4.56151452282158
90,4.7486255186722
91,4.93573651452282
92,5.12284751037344
93,5.16903679521601
94,5.21522608005858
95,5.26141536490115
96,5.30760464974371
97,5.35379393458628
98,5.39998321942885
99,5.44617250427142
100,5.49236178911399
101,5.53855107395655
102,5.58474035879912
103,5.63092964364169
104,5.67711892848426
105,5.72330821332682
106,5.76949749816939
107,5.81568678301196
108,5.86187606785453
109,5.9080653526971
110,6.44190871369295
111,6.9757520746888
112,7.50959543568465
113,8.0434387966805
114,8.57728215767635
115,9.1111255186722
116,9.64496887966805
117,10.1788122406639
118,10.7126556016598
119,11.2464989626556
120,11.7803423236515
121,12.3141856846473
122,12.8480290456432
123,13.381872406639
124,13.9157157676349
125,14.4495591286307
126,14.9834024896266
127,15.5172458506224
128,15.6215492090249
129,15.7258525674274
130,15.8301559258299
131,15.9344592842324
132,16.0387626426349
133,16.1430660010373
134,16.2473693594398
135,16.3516727178423
136,16.4559760762448
137,16.5602794346473
138,16.6645827930498
139,16.7688861514523
140,16.8731895098548
141,16.9774928682573
142,17.0817962266598
143,17.1860995850622
144,17.1077524204703
145,17.0294052558783
146,16.9510580912863
147,16.8727109266943
148,16.7943637621023
149,16.7160165975104
150,16.6376694329184
151,16.5593222683264
152,16.4809751037344
153,16.4026279391425
154,16.3242807745505
155,16.2459336099585
156,16.1675864453665
157,16.0892392807745
158,16.0108921161826
159,16.2650295244175
160,16.5191669326524
161,16.7733043408873
162,17.0274417491222
163,17.2815791573572
164,17.5357165655921
165,17.789853973827
166,18.0439913820619
167,18.2981287902968
168,18.5522661985318
169,18.8064036067667
170,19.0605410150016
171,19.3146784232365
172,19.582277369933
173,19.8498763166294
174,20.1174752633259
175,20.3850742100223
176,20.6526731567188
177,20.9202721034153
178,21.1878710501117
179,21.4554699968082
180,21.7230689435046
181,21.9906678902011
182,22.2582668368975
183,22.525865783594
184,22.7934647302905
185,22.6626677040111
186,22.5318706777317
187,22.4010736514523
188,22.2702766251729
189,22.1394795988935
190,22.0086825726141
191,21.8778855463347
192,21.7470885200553
193,21.6162914937759
194,21.4854944674965
195,21.3546974412171
196,21.2239004149378
197,21.0931033886584
198,20.962306362379
199,20.8315093360996
200,20.8686353461454
201,20.9057613561913
202,20.9428873662372
203,20.980013376283
204,21.0171393863289
205,21.0542653963748
206,21.0913914064206
207,21.1285174164665
208,21.1656434265123
209,21.2027694365582
210,21.2398954466041
211,21.2770214566499
212,21.3141474666958
213,21.3512734767416
214,21.3883994867875
215,21.4255254968334
216,21.4626515068792
217,21.4997775169251
218,21.536903526971
219,21.5019598399526
220,21.4670161529342
221,21.4320724659158
222,21.3971287788975
223,21.3621850918791
224,21.3272414048607
225,21.2922977178423
226,21.2573540308239
227,21.2224103438056
228,21.1874666567872
229,21.1525229697688
230,21.1175792827504
231,21.0826355957321
232,21.0476919087137
233,21.0127482216953
234,20.9778045346769
235,20.9428608476586
236,20.9079171606402
237,20.8729734736218
238,20.8380297866034
239,20.8030860995851
240,20.3763800385299
241,19.9496739774748
242,19.5229679164197
243,19.0962618553646
244,18.6695557943094
245,18.2428497332543
246,17.8161436721992
247,17.389437611144
248,16.9627315500889
249,16.5360254890338
250,16.1093194279787
251,15.6826133669235
